text,context,qualifier,laterality,presence,primary_secondary,experiencer,treatment_stage,snomed_ct
adenoidectomy procedure,adenoidectomy procedure   (medical transcription sample report),procedures,,confirmed,primary,patient,,
adenoidectomy,the adenoidectomy procedure   (medical transcription sample report),procedures,,confirmed,primary,patient,,
adenoidectomy procedure,the adenoidectomy procedure   (medical transcription sample report),procedures,,confirmed,primary,patient,,
adenoid pad,the mirror was used to visualize the adenoid pad and an adenoid curet was seated against the vomer.,signs,,confirmed,primary,,,
adenoid curet,the mirror was used to visualize the adenoid pad and an adenoid curet was seated against the vomer.,treatments,,confirmed,primary,,,
vomer,the mirror was used to visualize the adenoid pad and an adenoid curet was seated against the vomer.,signs,,confirmed,primary,,,
nasopharynx,the nasopharynx was packed.,signs,,confirmed,primary,,,
bleeding sites,several discrete bleeding sites were gently coagulated with electrocautery,signs,,confirmed,primary,,,
electrocautery,several discrete bleeding sites were gently coagulated with electrocautery,treatments,,confirmed,primary,,,
oral cavity,the nasopharynx and oral cavity were irrigated.,signs,,confirmed,primary,,,
crowe-davis mouth gag,the crowe-davis mouth gag was inserted in the oral cavity.,treatments,,confirmed,primary,,,
anesthesia,anesthesia administered via endotracheal tube,treatments,,confirmed,primary,patient,,
endotracheal tube,anesthesia administered via endotracheal tube,treatments,,confirmed,primary,patient,,
red rubber catheter,the palate was suspended with a red rubber catheter passed through the right nostril.,treatments,right,confirmed,primary,,,
palate,the palate was suspended with a red rubber catheter passed through the right nostril.,signs,,confirmed,primary,,,
tonsils,the palate and tonsils were inspected,signs,,confirmed,primary,,,
mirror,the mirror was used to visualize the adenoid pad and an adenoid curet was seated against the vomer.,treatments,,confirmed,primary,,,
stable condition,the patient tolerated the procedure without difficulty and was in stable condition on transfer to recovery.,signs,,confirmed,primary,,,
recovery,the patient tolerated the procedure without difficulty and was in stable condition on transfer to recovery.,signs,,confirmed,primary,,,
