text,context,qualifier,laterality,presence,primary_secondary,experiencer,treatment_stage,snomed_ct
collar tubes technique,collar tubes technique   (medical transcription sample report),procedures,bilateral,,,patient,,
patient,the patient was mask induced under general anesthesia.,sociodemographics,,,,patient,,116154003
mask induced,the patient was mask induced under general anesthesia.,procedures,,confirmed,,patient,pre-treatment,304341005
general anesthesia,the patient was mask induced under general anesthesia.,treatments,,confirmed,,patient,pre-treatment,50697003
cerumen,"under microotoscopy, cerumen was removed from both ear canals.",signs,bilateral,confirmed,primary,patient,pre-treatment,271739002
incision,an incision was placed in the inferior portion of the tympanic membrane bilaterally.,procedures,bilateral,confirmed,primary,patient,pre-treatment,363158006
tympanic membrane,an incision was placed in the inferior portion of the tympanic membrane bilaterally.,diagnoses,bilateral,confirmed,primary,patient,pre-treatment,42859004
baron’s suction,a baron’s suction was used to aspirate through the myringotomy incision.,procedures,,confirmed,primary,patient,pre-treatment,
myringotomy incision,a baron’s suction was used to aspirate through the myringotomy incision.,procedures,,confirmed,primary,patient,pre-treatment,
collar button pe tube,a collar button pe tube was placed in both myringotomy sites.,procedures,bilateral,confirmed,primary,patient,pre-treatment,284532000
ototopical drops,ototopical drops were then placed through the lumen of the pe tubes.,treatments,bilateral,confirmed,primary,patient,post-treatment,385136004
lumen,ototopical drops were then placed through the lumen of the pe tubes.,,,,,,,
awakened,the patient was then awakened from general anesthesia and taken to the recovery room in stable condition.,signs,,confirmed,,patient,post-treatment,398025007
stable condition,the patient was then awakened from general anesthesia and taken to the recovery room in stable condition.,signs,,confirmed,primary,patient,post-treatment,359746009
